index,1Lat,1Lon,2Lat,2Lon,3Lat,3Lon,4Lat,4Lon,Density
1,51.56255,-0.248272,51.56255,-0.150462,51.454633,-0.150462,51.454633,-0.248272,1
2,51.502628,-0.150462,51.502628,0.000698,51.454633,0.000698,51.454633,-0.150462,1
3,51.572683,-0.080069,51.572683,0.091098,51.502628,0.091098,51.502628,-0.080069,1
4,51.647646,-0.150462,51.647646,-0.080069,51.517384,-0.080069,51.517384,-0.150462,2
5,51.68156,-0.080069,51.68156,-0.053318,51.572683,-0.053318,51.572683,-0.080069,2
6,51.599847,-0.041538,51.599847,0.006626,51.572683,0.006626,51.572683,-0.041538,2
7,51.454633,-0.223079,51.454633,0.000698,51.357567,0.000698,51.357567,-0.223079,2
8,51.550984,-0.483447,51.550984,-0.421075,51.473744,-0.421075,51.473744,-0.483447,3
9,51.609649,-0.421075,51.609649,-0.248272,51.414115,-0.248272,51.414115,-0.421075,3
10,51.667914,-0.248272,51.667914,-0.150462,51.56255,-0.150462,51.56255,-0.248272,3
11,51.68156,-0.053318,51.68156,-0.36641,51.624928,-0.36641,51.624928,-0.053318,3
12,51.630882,-0.025413,51.630882,0.039882,51.599847,0.039882,51.599847,-0.025413,3
13,51.599847,0.006626,51.599847,0.091098,51.572683,0.091098,51.572683,0.006626,3
14,51.592181,0.091098,51.592181,0.16172,51.531657,0.16172,51.531657,0.091098,3
15,51.502628,0.045509,51.502628,0.171435,51.480655,0.171435,51.480655,0.045509,3
16,51.414115,-0.316628,51.414115,-0.223079,52.350571,-0.223079,52.350571,-0.316628,3
17,51.357567,-0.223079,51.357567,-0.150462,51.323313,-0.150462,51.323313,-0.223079,4
18,51.357567,-0.150462,51.357567,0.004403,51.288107,0.004403,51.288107,-0.150462,4
19,51.357567,0.004403,51.357567,0.000698,51.323313,0.000698,51.323313,0.004403,4
20,51.480655,0.000698,51.480655,0.171435,51.347125,0.171435,51.347125,0.000698,4
21,51.630882,0.16172,51.630882,0.268543,51.524285,0.268543,51.524285,0.16172,4
